"","species","sci.names","gam.Habund","gam.Fabund","cwd.gam.Hmean","cwd.gam.Fmean","tmin.gam.Hmean","tmin.gam.Fmean","south.gam.Hmean","south.gam.Fmean","topoid.gam.Hmean","topoid.gam.Fmean","gam.del.abund","gam.del.south","gam.del.topoid"
"1","Shrubland","Adenostoma fasciculatum",45813.8826603866,183076.032313267,983.245484381491,1055.19277427368,4.35193033545957,7.50605116309512,0.0717706572179104,0.00445758965307555,5.48063848359248,5.37239611706968,137262.14965288,-0.0673130675648348,-0.108242366522806
"2","Maple","Acer macrophyllum",7076.8834225281,1131.95246719538,872.108575718084,1003.99737705444,2.77336468375515,4.96937806838003,-0.0912917689342155,-0.0747271073744009,7.13515981446513,8.07882153142766,-5944.93095533273,0.0165646615598146,0.943661716962526
"3","Buckeye","Aesculus californica",1961.63028640375,548.970739721758,883.274547787652,1007.2569086305,3.090545754265,5.71236864293819,-0.0765333472496571,-0.0707946733669648,6.7898439791334,7.22121419437797,-1412.659546682,0.00573867388269229,0.431370215244568
"4","Madrone","Arbutus menziesii",42089.7175062053,51297.3321642226,866.333417111176,976.933892747965,4.04084991059373,7.30780681631315,-0.100036474593054,-0.111823812299519,5.82244684592929,5.56069081796515,9207.6146580173,-0.0117873377064651,-0.261756027964142
"5","Tanoak","Notholithocarpus densiflorus",5779.40246876774,3060.14606827388,807.138555388542,922.822490958019,4.33886344422961,6.94850658282794,-0.187757930653759,-0.189570904853964,5.53084695293838,5.77081973406361,-2719.25640049386,-0.00181297420020438,0.239972781125227
"6","Doug.fir","Pseudotsuga menziesii",82556.5909212074,37368.5366363568,862.806551734637,1000.10731280089,4.02988246560754,6.12770230378761,-0.105197122372707,-0.0791738714742391,5.824994244327,6.60343074878443,-45188.0542848507,0.0260232508984677,0.778436504457435
"7","Coast.live.oak","Quercus agrifolia",62124.6451738136,62070.4046212297,955.818259740728,1054.50544268568,3.8933217928487,6.44654060179326,0.0376479940290019,0.00297761176967247,5.95953225012353,6.43772298432915,-54.2405525838767,-0.0346703822593294,0.478190734205617
"8","Blue.oak","Quercus douglasii",8710.9285943285,22207.8411140775,945.411658030765,1010.06795315111,3.95121377480657,7.5621322242113,0.0270751775307229,-0.0647124899693088,5.89855053311415,5.3927993986858,13496.912519749,-0.0917876675000317,-0.50575113442835
"9","Oregon.oak","Quercus garryana",53482.1076188933,25387.9325647589,867.757966900181,961.437394166636,3.6202882012892,6.57755217539116,-0.0987649966563897,-0.136968324334239,6.24337431068309,6.28107122557971,-28094.1750541344,-0.038203327677849,0.0376969148966158
"10","Black.oak","Quercus kelloggii",8827.61944411797,1902.84680390951,844.400238031876,954.933200668754,4.02050834804578,5.39494385585828,-0.133738797974227,-0.144071999531222,5.86625181707505,7.21901722521727,-6924.77264020846,-0.0103332015569949,1.35276540814222
"11","Valley.oak","Quercus lobata",16352.1244320605,9716.00192907447,929.659641420571,1011.08857573849,3.52262662944114,6.23612243196941,-0.0029182655797372,-0.0647198456698107,6.34646175143857,6.72629165830254,-6636.12250298603,-0.0618015800900735,0.379829906863963
"12","Redwood","Sequoia sempervirens",3137.19433275141,373.023872431468,806.265540497476,928.581391121536,3.89341888350466,5.04598707203398,-0.187568765754796,-0.17462932393846,6.00468594641179,7.33298161189081,-2764.17046031994,0.012939441816336,1.32829566547902
"13","Bay","Umbellularia californica",21839.2041465199,6638.61706513282,889.509358093127,1043.03939885233,3.30959285235054,5.28907244856153,-0.0648005249493117,-0.0190471745619411,6.56182096871717,7.60889887915835,-15200.587081387,0.0457533503873706,1.04707791044118
