"","species","sci.names","gam2.tabund","cwd2.cspace.opt","tmin2.cspace.opt","cwd2.hypv.opt","tmin2.hypv.opt","cwd2.gam.mean","tmin2.gam.mean","hypv2.pmax","cspace2.pmax","dev2.expl","cwd2.chisq","tmin2.chisq","cwd1.cspace.opt","cwd1.hypv.opt","cwd1.gam.mean","hypv1.pmax","cspace1.pmax","cwd1.dev.expl"
"1","Shrubland","Adenostoma fasciculatum",1181.40006754672,1385.443359375,6.37753295898438,1368.33666992188,5.97271680831909,NA,NA,0.684377627173896,0.74706520888262,0.142469980256097,352.010542715818,141.185250114659,NA,NA,NA,NA,NA,NA
"2","Maple","Acer macrophyllum",198.55469083223,343.313293457031,-0.475023299455643,416.216705322266,1.09315896034241,NA,NA,0.129514513023215,0.236047383494191,0.104012759704992,15.9901570421441,99.8865285296556,NA,NA,NA,NA,NA,NA
"3","Buckeye","Aesculus californica",50.5641718035153,343.313293457031,-0.475023299455643,416.216705322266,1.09315896034241,NA,NA,0.0247822264748505,0.0459012636748941,0.0545441235694747,2.76364270847676,15.8692812972797,NA,NA,NA,NA,NA,NA
"4","Madrone","Arbutus menziesii",1101.97945659296,343.313293457031,6.37753295898438,745.5966796875,6.10451316833496,NA,NA,0.161661790862726,0.172845448375,0.0328644150405464,70.8364547921019,10.839807946891,NA,NA,NA,NA,NA,NA
"5","Tanoak","Notholithocarpus densiflorus",156.765877576599,343.313293457031,6.37753295898438,456.776702880859,5.34001111984253,NA,NA,0.115970185487622,0.210994255772757,0.0989475132569402,69.8152431190913,12.0621318001431,NA,NA,NA,NA,NA,NA
"6","Doug.fir","Pseudotsuga menziesii",2148.0316967059,343.313293457031,5.06239589928377,456.776702880859,5.34001111984253,NA,NA,0.482001959791117,0.555560704595081,0.0427737647470528,204.518268817749,19.9828108376214,NA,NA,NA,NA,NA,NA
"7","Coast.live.oak","Quercus agrifolia",1591.9626670739,1153.85890028212,5.13161363926801,1158.03002929688,5.04466199874878,NA,NA,0.279711142219509,0.279657288243108,0.0949721502463343,289.932596256232,3.37427832164422,NA,NA,NA,NA,NA,NA
"8","Blue.oak","Quercus douglasii",226.056684980252,1027.54010441327,6.37753295898438,1027.87329101562,6.15598297119141,NA,NA,0.0389292190592181,0.0392896631336039,0.0491527405229443,36.8214187994083,2.91664685067259,NA,NA,NA,NA,NA,NA
"9","Oregon.oak","Quercus garryana",1409.43135548544,690.689982096354,0.563242800307996,691.313293457031,0.296152591705322,NA,NA,0.242782858928506,0.242947090505229,0.056276123332201,139.29303105861,61.8815172593938,NA,NA,NA,NA,NA,NA
"10","Black.oak","Quercus kelloggii",216.756474589736,648.583716806739,-0.475023299455643,625.943298339844,-0.0225556790828705,NA,NA,0.041713280575864,0.0425476692309158,0.0595237954121541,48.1518048062233,0.496446969023706,NA,NA,NA,NA,NA,NA
"11","Valley.oak","Quercus lobata",419.719601577374,1006.48697176847,1.94759759999285,1006.82000732422,1.93455600738525,NA,NA,0.0682385032564167,0.0682390397285255,0.0505093757439085,34.182995735493,16.9468470632739,NA,NA,NA,NA,NA,NA
"12","Redwood","Sequoia sempervirens",84.0446080534393,543.318053582702,-0.475023299455643,625.943298339844,-0.0225556790828705,NA,NA,0.0874275859651191,0.171342598718762,0.0920399367224376,29.8217440030695,21.2245755196461,NA,NA,NA,NA,NA,NA
"13","Bay","Umbellularia californica",594.371159112729,343.313293457031,-0.475023299455643,416.216705322266,1.09315896034241,NA,NA,0.365718508522918,0.531936262773895,0.0519823939092652,46.6396246004428,106.38129506244,NA,NA,NA,NA,NA,NA
